# =============================================================================
# suburb_nsw_freq.csv - Frequency table for suburbs in New South Wales
#
# Based on 'Australia on Disk' data files (2002)
#
# Last update: 31/03/2005, Peter Christen
# =============================================================================

# =============================================================================
# This table is in a two-column comma separated format, with the first column
# being the names and the second a corresponding frequency count. 
# =============================================================================

coledale,441
colinroobie,33
colinton,12
collarenebri,290
collaroy,3374
collaroy_beach,27
collaroy_plateau,1992
collector,87
collendina,32
collerina,7
colletts_island,3
collie,64
collingullie,101
collins_creek,19
collombatti,91
collombatti_rail,43
colly_blue,2
colo,26
colo_heights,105
colo_vale,498
colyton,1604
comara,24
combaning_south,8
combara,19
comboyne,220
come_by_chance,31
comerong_island,10
commissioners_creek,6
como,1347
como_west,27
comobella,2
conargo,78
concord,4492
concord_west,2117
condell_park,2507
condobolin,1551
condong,375
condong_range,9
congarini,13
congewai,57
congo,72
conimbia,4
coniston,663
conjola,80
connells_point,787
coogee,8394
cookamidgera,62
cookardinia,41
cooks,2
cooks_gap,146
cooks_hill,1634
cooks_myalls,11
coolabah,41
coolac,110
coolagolite,25
coolah,536
coolamon,746
coolangatta,95
coolatai,31
coolgardie,6
coolongolook,112
cooltralantra,3
cooma,3204
cooma_north,50
cooma_west,47
coomba,295
coombell,17
coonabarabran,1532
coonamble,1448
coopernook,230
coopers_creek,7
coopers_shoot,38
cooplacurripa,4
coorabell,149
cooranbong,1541
cootamundra,2711
cooyal,122
copacabana,1177
copeland,22
copeton_dam,6
copmanhurst,196
coppabella,15
coraki,569
coralville,16
coramba,274
corbie_hill,88
cordeaux,591
cordeaux_heights,249
coree_south,9
coreen,49
corindi,71
corindi_beach,301
corindi_clarence,71
corinella,23
corlette,1192
cornalla,3
corndale,94
corobimilla,33
corona,2
corowa,2479
corrimal,3146
corrimal_east,644
corrowidgin,15
corrys_wood,19
cottage_point,53
cougal,11
coulsons_creek,5
countegany,6
courabyra,23
couridjah,75
coutts_crossing,445
cowabbie,5
cowan,200
cowpastures,3
cowper,28
cowra,4073
crabbes_creek,111
craboon,5
cragleigh,3
craigie,18
cranebrook,2394
craven,45
creewah,3
cremorne,6061
cremorne_point,394
crescent_head,658
cringila,542
croki,19
cromer,2464
cromer_heights,247
cromer_north,4
cronulla,8415
crooble,33
crooked_corner,30
crookhaven_heads,12
crookwell,1139
croom,2
croppa_creek,44
cross_roads,2
croudace_bay,134
crowdy_head,53
crows_nest,2184
crowther,33
croydon,3370
croydon_park,3364
crudine,18
cryon,18
crystal_creek,76
cucumgilliga,12
cudal,304
cudgegong,4
cudgen,323
cudgera_creek,77
cudmirrah,139
culburra,805
culburra_beach,658
culcairn,556
culgoora,12
cullen_bullen,97
cullenbone,10
cullerin,11
culmaran_creek,2
cumbalum,56
cumbijowa,15
cumboogle,22
cumborah,92
cumnock,215
cundle_flat,5
cundletown,830
cunjurong,30
cunjurong_point,40
cunningar,5
cunninyeuk,17
curban,46
curl_curl,722
curlewis,338
curlwaa,177
currabubula,196
curramanga,2
curramore,3
currans_hill,1120
currarong,371
currawang,30
currawarna,71
cuttabri,15
cuttaburra,6
cuttagee,13
daceyville,440
dairy_flat,9
dairyville,31
daleys_point,268
dalgety,143
dalmeny,879
dalton,128
dalwood,53
